Solvent	Base	ligands-SMILES	ligands-IUPAC	additives	Catalyst
MeCN	LiOMe	C1(CNC(C2=CC=CC=C2)(C3=CC=CC=C3)C(NCC4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)=CC=CC=C1	"N1,N2-dibenzyl-1,1,2,2-tetraphenylethane-1,2-diamine"	MgBr2	NiCl2 
THF	NaOMe	[C@@H]1(CC2=CC=CC=C2)COC(C3=N[C@H](CC4=CC=CC=C4)CO3)=N1	"(4R,4'R)-4,4'-dibenzyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"	MgBr2.Et2O	NiBr2
THP	KOtBu	CC([C@H](CO1)N=C1C2=CC=C(CCC3)C3=N2)(C)C	"(R)-4-(tert-butyl)-2-(6,7-dihydro-5H-cyclopenta[b]pyridin-2-yl)-4,5-dihydrooxazole"	MgI2	NiCl2·DME
"1,4-dioxane"	NaOtBu	[Ar]N1C(C2=N[C@H](CC3=CC=CC=C3)CN2[Ar])=N[C@H](CC4=CC=CC=C4)C1	"(4R,4'R)-1,1'-diargio-4,4'-dibenzyl-4,4',5,5'-tetrahydro-1H,1'H-2,2'-biimidazole"	MgF2	NiBr2·DME
MTBE	K2CO3	N#CC(C1=N[C@@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)C5=N[C@@H](C6=CC=CC=C6)C(C7=CC=CC=C7)(C8=CC=CC=C8)O5	"2,2-bis((S)-4,5,5-triphenyl-4,5-dihydrooxazol-2-yl)acetonitrile"	MgCl2	NiI2 
CPME	KHCO3	CC(C)[C@@H]1COC(C2=N[C@H](C(C)C)CO2)=N1	"(4R,4'R)-4,4'-diisopropyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"	TBAB	NiF2
DCE	Na2CO3	[NH2][C@@H](C1=CC=CC=C1)[C@H]([NH2])C2=CC=CC=C2	"(1R,2S)-1,2-diphenylethane-1,2-diamine"	TBAI	Ni(acac)2
DME	K3PO4	CN[C@H]1CCCC[C@@H]1NC	"(1S,2S)-N1,N2-dimethylcyclohexane-1,2-diamine"	TBACl	Ni(cod)2
tBuOH	CH3COOK	[C@H]1(NCC2=CC=CC=C2)CCCC[C@@H]1NCC3=CC=CC=C3	"(1S,2S)-N1,N2-dibenzylcyclohexane-1,2-diamine"	LiI	Ni(ClO4)2·6H2O
EA	DMAP	FC(C(C(F)(F)F)=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=C(F)C=C3	"(1R,2R)-N1,N2-bis(4-fluoro-3-(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"	LiCl	Ni(OTf)2
DMA	Et3N	C1(NCC2=CC=CC=C2)CCCCC1NCC3=CC=CC=C3	"N1,N2-dibenzylcyclohexane-1,2-diamine"	LiBr	Ni(NO3)2·2H2O
DMF	LiOH	CC1=C(OC)C=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC=C(OC)C(C)=C3)=C1	"(1R,2R)-N1,N2-bis(4-methoxy-3-methylbenzyl)cyclohexane-1,2-diamine"	KBr	Ni(CF3COO)2·4H2O
NMP	KOtBu	FC(C(F)=C1)=C(F)C=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(F)=C(F)C(F)=C3	"(1R,2R)-N1,N2-bis(3,4,5-trifluorobenzyl)cyclohexane-1,2-diamine"	KI	Ni(OTf)2
Toluene	Cs2CO3	COC(C(C(F)(F)F)=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=C(OC)C=C3	"(1R,2R)-N1,N2-bis(4-methoxy-3-(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"	KF	Ni(OAc)2·4H2O
Chlorobenzene	Li2CO3	CC1=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C)=CC(C)=C3)=CC(C)=C1	"(1R,2R)-N1,N2-bis(3,5-dimethylbenzyl)cyclohexane-1,2-diamine"	KCl	Ni(OH)2
DCM	NaOH	CC([C@H](CO1)N=C1C2=NC3=C(CCCC3)C=C2)(C)C	"(R)-4-(tert-butyl)-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"	NaI	Ni(NO3)2·6H2O
MeCN	KOH	CC(C)[C@@H](CO1)N=C1C2=CC=CC(C3=CC=CC=C3)=N2	"(S)-4-isopropyl-2-(6-phenylpyridin-2-yl)-4,5-dihydrooxazole"	NaBr	NiCl2·(PPh3)2
DMSO	KOMe	C1(C2=CC=CC=C2)=NC(C3=N[C@H](CC4=CC=CC=C4)CO3)=CC=C1	"(R)-4-benzyl-2-(6-phenylpyridin-2-yl)-4,5-dihydrooxazole"	NaCl	
